Features,Average Feature Importance,Standard Deviation Importance,Decision
area,6.5124621679780805,0.8195805539115034,Accepted
year,4.8373348476475755,0.624202702863384,Accepted
amp_precipitation_Q4,0.746249775147801,0.15991046064715322,Accepted
amp_precipitation_Q3,0.31189560475290745,0.12011418318409398,Accepted
amp_precipitation_Q1,0.3025983528907703,0.11551486787440053,Accepted
amp_max_daily_NSA_temp_Q1,0.1712738267364288,0.0884470859720333,Accepted
amp_precipitation_Q2,0.15972087342234836,0.09773121221219623,Accepted
rainy_days_growth,0.08187137726694496,0.08657360683716095,Accepted
amp_daily_NSA_temp_Q3,0.0732691145432947,0.08644778244721943,Accepted
amp_max_daily_NSA_temp_Q4,0.05536398092026758,0.07839556423704917,Accepted
amp_max_daily_NSA_temp_Q2,0.05085559196382757,0.07816779296670402,Accepted
max_consecutive_below_maturation,0.005688393296891875,0.08077224154065246,Accepted
amp_max_daily_NSA_temp_Q3,-0.03632961570215315,0.07995522205044744,Accepted
amp_daily_NSA_temp_Q4,-0.06835674888720686,0.06690208419586147,Accepted
amp_daily_NSA_temp_Q2,-0.12402303759982762,0.06848120242758357,Accepted
max_consecutive_within_growth,-0.1431199675824024,0.05827392132357407,Accepted
maturation_within,-0.14598362543866078,0.048773690332210386,Accepted
max_consecutive_within_maturation,-0.14868041542694405,0.06971761864910044,Accepted
frost_days_germination,-0.1570942842768037,0.05362175838780878,Accepted
maturation_below,-0.15779057619143727,0.05480678010410708,Accepted
heat_days_maturation,-0.16218754457958123,0.06238902931052195,Accepted
growth_below,-0.1705918208416815,0.02982189055211411,Accepted
growth_within,-0.1782950484814501,0.008541683041202588,Rejected
rainy_days_germination,-0.18005593115010457,0.05560523984621554,Accepted
amp_daily_NSA_temp_Q1,-0.18146926552516648,0.05442851544972184,Accepted
rainy_days_maturation,-0.18547483054511704,0.05301771217725272,Accepted
max_consecutive_below_growth,-0.2010528256585796,0.054812940873125285,Accepted
Max_Shadow,-0.20999587746437792,0.05155477881813205,Shadow
frost_days_growth,-0.21595644259037253,0.049005246173105824,Tentative
max_consecutive_above_maturation,-0.22130241495424227,0.009170586354612476,Rejected
maturation_above,-0.22919187663065949,0.005288560927273942,Rejected
Median_Shadow,-0.2537475052664672,0.04212620960034442,Shadow
Mean_Shadow,-0.2580778516203173,0.03618821014194672,Shadow
max_consecutive_above_growth,-0.2627628807398666,0.001664426776569894,Rejected
growth_above,-0.26387987580201094,0.0015462575458475385,Rejected
max_consecutive_within_germination,-0.26438827078834065,0.0012394221022743893,Rejected
germination_below,-0.2645031844611846,0.0012738033294702172,Rejected
germination_within,-0.26457671021271345,0.0011423299074310091,Rejected
max_consecutive_below_germination,-0.2646003108573315,0.001347223878221449,Rejected
annual_precip_within,-0.26495447424866303,0.0012588899356990573,Rejected
annual_precip_above,-0.2650626738176164,0.0012244977761387073,Rejected
heat_days_growth,-0.2650715942161748,0.0013811069594676982,Rejected
heat_days_germination,-0.2654080961524605,0.0012198396381188999,Rejected
frost_days_maturation,-0.26548021316729964,0.001247823769582545,Rejected
max_consecutive_above_germination,-0.26549321228440864,0.0012344321089269982,Rejected
germination_above,-0.26549321228440864,0.0012344321089269982,Rejected
annual_precip_below,-0.26549321228440864,0.0012344321089269982,Rejected
Min_Shadow,-0.29213527932873096,0.027609005152441992,Shadow
